transaction_id,customer_id,transaction_time,amount,merchant_category,channel
TXN_000001,CUST_0103,2026-02-08 02:46:00,19.1,Electronics,POS
TXN_000002,CUST_0122,2026-03-02 18:18:00,55.45,Shopping,Online
TXN_000003,CUST_0088,2026-01-01 12:49:00,13.66,Shopping,Online
TXN_000004,CUST_0344,2026-05-19 05:21:00,21.93,Travel,ATM
TXN_000005,CUST_0192,2026-04-01 15:23:00,33.86,Healthcare,Online
TXN_000006,CUST_0188,2026-04-01 06:21:00,21.59,Electronics,Online
TXN_000007,CUST_0175,2026-01-08 21:54:00,7.57,Travel,POS
TXN_000008,CUST_0485,2026-06-28 08:40:00,146.49,Shopping,POS
TXN_000009,CUST_0167,2026-03-28 06:43:00,4.36,Restaurant,Online
TXN_000010,CUST_0092,2026-02-03 17:15:00,101.44,Healthcare,POS
TXN_000011,CUST_0264,2026-06-16 19:01:00,75.38,Restaurant,POS
TXN_000012,CUST_0106,2026-05-03 19:10:00,9.77,Travel,Online
TXN_000013,CUST_0402,2026-01-29 01:17:00,41.21,Electronics,Online
TXN_000014,CUST_0215,2026-02-08 14:31:00,79.98,Travel,Online
TXN_000015,CUST_0213,2026-05-16 06:16:00,7.55,Entertainment,POS
TXN_000016,CUST_0252,2026-06-14 07:04:00,16.12,Travel,POS
TXN_000017,CUST_0157,2026-01-09 19:06:00,59.27,Shopping,Mobile
TXN_000018,CUST_0261,2026-03-14 13:28:00,80.46,Restaurant,POS
TXN_000019,CUST_0028,2026-03-30 12:38:00,46.12,Restaurant,Online
TXN_000020,CUST_0407,2026-06-07 22:26:00,87.84,Utilities,Online
TXN_000021,CUST_0172,2026-04-07 15:42:00,76.31,Grocery,POS
TXN_000022,CUST_0462,2026-06-25 19:05:00,44.55,Shopping,Mobile
TXN_000023,CUST_0255,2026-06-20 08:30:00,17.91,Travel,Online
TXN_000024,CUST_0352,2026-05-09 17:00:00,46.2,Healthcare,POS
TXN_000025,CUST_0096,2026-06-22 22:02:00,15.15,Healthcare,POS
TXN_000026,CUST_0029,2026-05-28 18:46:00,50.6,Travel,ATM
TXN_000027,CUST_0187,2026-05-06 02:32:00,67.02,Restaurant,Mobile
TXN_000028,CUST_0134,2026-05-20 01:15:00,47.51,Travel,Mobile
TXN_000029,CUST_0340,2026-04-17 06:48:00,36.49,Restaurant,Online
TXN_000030,CUST_0231,2026-03-31 03:36:00,87.24,Utilities,Online
TXN_000031,CUST_0283,2026-05-12 08:05:00,118.36,Grocery,Online
TXN_000032,CUST_0456,2026-01-03 14:28:00,24.73,Shopping,POS
TXN_000033,CUST_0225,2026-02-12 10:07:00,23.51,Healthcare,Online
TXN_000034,CUST_0096,2026-05-09 18:56:00,14.85,Electronics,Mobile
TXN_000035,CUST_0318,2026-06-28 10:31:00,32.51,Grocery,Online
TXN_000036,CUST_0081,2026-06-12 13:53:00,6.21,Shopping,POS
TXN_000037,CUST_0220,2026-03-29 06:17:00,27.32,Restaurant,POS
TXN_000038,CUST_0160,2026-02-18 22:27:00,44.77,Utilities,Online
TXN_000039,CUST_0439,2026-03-15 19:48:00,15.25,Healthcare,Mobile
TXN_000040,CUST_0372,2026-01-25 02:18:00,71.75,Restaurant,POS
TXN_000041,CUST_0240,2026-01-11 21:48:00,21.27,Shopping,Online
TXN_000042,CUST_0259,2026-03-20 03:47:00,48.34,Travel,Online
TXN_000043,CUST_0403,2026-05-30 04:35:00,80.44,Travel,POS
TXN_000044,CUST_0489,2026-06-02 13:26:00,60.67,Grocery,POS
TXN_000045,CUST_0338,2026-02-02 19:34:00,53.62,Grocery,Online
TXN_000046,CUST_0415,2026-04-13 13:58:00,83.63,Utilities,POS
TXN_000047,CUST_0252,2026-06-28 22:35:00,5.99,Grocery,Online
TXN_000048,CUST_0453,2026-05-22 12:06:00,37.3,Entertainment,Mobile
TXN_000049,CUST_0009,2026-01-05 08:55:00,86.9,Electronics,Mobile
TXN_000050,CUST_0054,2026-04-22 08:51:00,11.42,Electronics,Mobile
TXN_000051,CUST_0075,2026-05-28 23:30:00,77.79,Electronics,Online
TXN_000052,CUST_0153,2026-01-15 19:57:00,198.06,Entertainment,Online
TXN_000053,CUST_0338,2026-03-04 16:32:00,1.86,Entertainment,Online
TXN_000054,CUST_0068,2026-06-01 07:43:00,14.83,Grocery,POS
TXN_000055,CUST_0404,2026-01-31 14:24:00,126.87,Shopping,POS
TXN_000056,CUST_0176,2026-05-03 15:17:00,15.89,Travel,POS
TXN_000057,CUST_0375,2026-02-22 22:13:00,56.8,Utilities,POS
TXN_000058,CUST_0264,2026-05-05 15:16:00,7.4,Shopping,POS
TXN_000059,CUST_0286,2026-04-30 07:56:00,129.6,Grocery,Online
TXN_000060,CUST_0304,2026-03-18 02:56:00,106.91,Shopping,POS
TXN_000061,CUST_0017,2026-05-04 19:14:00,32.73,Utilities,ATM
TXN_000062,CUST_0380,2026-01-03 09:00:00,40.07,Grocery,ATM
TXN_000063,CUST_0497,2026-02-15 15:26:00,275.58,Travel,Mobile
TXN_000064,CUST_0253,2026-05-06 23:28:00,155.48,Entertainment,Online
TXN_000065,CUST_0256,2026-05-17 22:17:00,3.26,Restaurant,ATM
TXN_000066,CUST_0323,2026-06-18 06:09:00,25.33,Electronics,Online
TXN_000067,CUST_0288,2026-06-10 06:25:00,10.51,Healthcare,POS
TXN_000068,CUST_0474,2026-03-15 12:24:00,132.9,Grocery,Mobile
TXN_000069,CUST_0299,2026-06-13 10:42:00,51.92,Restaurant,Mobile
TXN_000070,CUST_0306,2026-06-02 18:03:00,196.16,Grocery,POS
TXN_000071,CUST_0391,2026-06-14 23:09:00,139.4,Grocery,Online
TXN_000072,CUST_0400,2026-05-10 17:58:00,33.36,Utilities,Mobile
TXN_000073,CUST_0143,2026-03-24 12:34:00,15.29,Healthcare,POS
TXN_000074,CUST_0153,2026-05-06 22:52:00,26.13,Restaurant,POS
TXN_000075,CUST_0150,2026-05-08 19:58:00,21.88,Travel,Online
TXN_000076,CUST_0054,2026-03-20 21:52:00,35.88,Shopping,Online
TXN_000077,CUST_0264,2026-05-09 12:53:00,16.19,Entertainment,POS
TXN_000078,CUST_0365,2026-05-20 09:50:00,65.34,Electronics,POS
TXN_000079,CUST_0355,2026-06-18 14:33:00,129.47,Entertainment,ATM
TXN_000080,CUST_0158,2026-02-27 11:10:00,75.85,Shopping,Mobile
TXN_000081,CUST_0275,2026-01-05 03:09:00,14.99,Entertainment,Online
TXN_000082,CUST_0279,2026-02-21 21:40:00,29.53,Healthcare,POS
TXN_000083,CUST_0129,2026-01-04 15:17:00,23.71,Restaurant,Online
TXN_000084,CUST_0048,2026-03-21 13:08:00,24.1,Grocery,POS
TXN_000085,CUST_0385,2026-06-23 14:49:00,276.48,Healthcare,Online
TXN_000086,CUST_0144,2026-05-30 19:36:00,92.99,Shopping,Mobile
TXN_000087,CUST_0285,2026-03-26 03:32:00,26.12,Restaurant,Mobile
TXN_000088,CUST_0039,2026-02-11 01:01:00,215.29,Travel,Online
TXN_000089,CUST_0357,2026-03-29 14:11:00,169.43,Entertainment,Mobile
TXN_000090,CUST_0223,2026-03-11 23:53:00,7.92,Restaurant,POS
TXN_000091,CUST_0096,2026-05-12 01:51:00,49.65,Travel,POS
TXN_000092,CUST_0247,2026-03-05 04:47:00,82.25,Restaurant,Online
TXN_000093,CUST_0160,2026-03-05 16:00:00,37.1,Restaurant,POS
TXN_000094,CUST_0417,2026-06-24 15:32:00,64.21,Entertainment,POS
TXN_000095,CUST_0268,2026-04-16 10:36:00,51.38,Restaurant,Online
TXN_000096,CUST_0397,2026-04-10 11:13:00,29.71,Travel,Online
TXN_000097,CUST_0253,2026-03-03 13:48:00,43.86,Grocery,POS
TXN_000098,CUST_0410,2026-02-15 19:13:00,17.77,Restaurant,Online
TXN_000099,CUST_0115,2026-01-08 20:58:00,17.77,Entertainment,Online
TXN_000100,CUST_0413,2026-02-12 03:32:00,23.21,Electronics,Mobile
TXN_000101,CUST_0249,2026-03-21 09:52:00,3.61,Electronics,Mobile
TXN_000102,CUST_0099,2026-02-19 01:20:00,132.9,Electronics,Online
TXN_000103,CUST_0487,2026-04-27 04:00:00,94.04,Electronics,Mobile
TXN_000104,CUST_0183,2026-02-17 12:50:00,41.64,Entertainment,Mobile
TXN_000105,CUST_0361,2026-05-07 02:29:00,62.36,Travel,Mobile
TXN_000106,CUST_0397,2026-02-25 04:19:00,3.48,Shopping,Online
TXN_000107,CUST_0396,2026-02-07 13:38:00,49.01,Healthcare,ATM
TXN_000108,CUST_0367,2026-06-25 17:06:00,29.24,Electronics,POS
TXN_000109,CUST_0396,2026-05-18 08:15:00,110.49,Travel,ATM
TXN_000110,CUST_0057,2026-04-16 23:37:00,10.01,Healthcare,Online
TXN_000111,CUST_0186,2026-02-21 17:00:00,35.72,Entertainment,Mobile
TXN_000112,CUST_0235,2026-05-22 04:59:00,16.82,Shopping,Online
TXN_000113,CUST_0009,2026-01-16 01:17:00,61.18,Entertainment,Mobile
TXN_000114,CUST_0141,2026-03-06 15:45:00,128.75,Electronics,Online
TXN_000115,CUST_0283,2026-01-20 15:35:00,20.68,Entertainment,Online
TXN_000116,CUST_0496,2026-06-15 07:47:00,41.76,Entertainment,POS
TXN_000117,CUST_0145,2026-06-22 16:43:00,17.04,Healthcare,POS
TXN_000118,CUST_0182,2026-05-10 07:21:00,129.04,Healthcare,POS
TXN_000119,CUST_0019,2026-01-03 13:49:00,32.49,Entertainment,POS
TXN_000120,CUST_0058,2026-04-11 03:08:00,12.15,Travel,Online
TXN_000121,CUST_0383,2026-02-15 20:40:00,118.05,Entertainment,Online
TXN_000122,CUST_0191,2026-01-24 07:51:00,71.58,Travel,Online
TXN_000123,CUST_0417,2026-04-23 02:26:00,41.43,Entertainment,Online
TXN_000124,CUST_0020,2026-01-13 06:00:00,33.54,Grocery,POS
TXN_000125,CUST_0305,2026-05-19 20:18:00,21.5,Entertainment,POS
TXN_000126,CUST_0144,2026-02-24 18:19:00,212.72,Healthcare,Online
TXN_000127,CUST_0330,2026-06-25 09:39:00,295.84,Electronics,Online
TXN_000128,CUST_0090,2026-04-24 04:33:00,14.76,Electronics,POS
TXN_000129,CUST_0028,2026-03-09 08:47:00,4.89,Travel,POS
TXN_000130,CUST_0413,2026-03-23 22:52:00,47.58,Entertainment,ATM
TXN_000131,CUST_0390,2026-02-09 06:50:00,8.84,Electronics,Mobile
TXN_000132,CUST_0365,2026-06-27 14:56:00,206.74,Entertainment,Online
TXN_000133,CUST_0374,2026-01-05 20:10:00,44.5,Healthcare,POS
TXN_000134,CUST_0283,2026-01-13 12:17:00,11.05,Grocery,Mobile
TXN_000135,CUST_0105,2026-01-09 20:43:00,6.72,Electronics,Online
TXN_000136,CUST_0465,2026-06-13 10:45:00,18.19,Entertainment,ATM
TXN_000137,CUST_0259,2026-05-09 01:22:00,150.84,Entertainment,Mobile
TXN_000138,CUST_0145,2026-01-27 22:05:00,45.26,Entertainment,POS
TXN_000139,CUST_0001,2026-05-03 15:35:00,37.35,Utilities,Mobile
TXN_000140,CUST_0288,2026-04-07 01:11:00,55.39,Restaurant,POS
TXN_000141,CUST_0039,2026-04-24 06:41:00,42.2,Utilities,Mobile
TXN_000142,CUST_0268,2026-03-16 05:24:00,256.57,Grocery,POS
TXN_000143,CUST_0478,2026-01-11 14:14:00,25.82,Electronics,POS
TXN_000144,CUST_0207,2026-04-28 00:33:00,87.49,Entertainment,POS
TXN_000145,CUST_0075,2026-06-15 21:37:00,21.46,Travel,ATM
TXN_000146,CUST_0098,2026-04-18 06:18:00,23.52,Restaurant,POS
TXN_000147,CUST_0435,2026-01-30 09:18:00,25.29,Utilities,POS
TXN_000148,CUST_0030,2026-01-30 22:08:00,67.87,Healthcare,POS
TXN_000149,CUST_0133,2026-01-14 20:43:00,27.26,Grocery,POS
TXN_000150,CUST_0340,2026-02-21 00:37:00,136.96,Electronics,Online
TXN_000151,CUST_0053,2026-06-21 23:46:00,10.51,Shopping,Online
TXN_000152,CUST_0111,2026-05-28 01:51:00,18.13,Grocery,POS
TXN_000153,CUST_0095,2026-03-17 03:35:00,165.97,Travel,Online
TXN_000154,CUST_0281,2026-04-25 05:46:00,14.69,Shopping,Mobile
TXN_000155,CUST_0093,2026-06-01 11:16:00,35.73,Shopping,Online
TXN_000156,CUST_0466,2026-01-17 00:21:00,47.13,Travel,Online
TXN_000157,CUST_0405,2026-02-05 22:25:00,178.2,Travel,Online
TXN_000158,CUST_0433,2026-05-28 20:10:00,358.4,Utilities,Online
TXN_000159,CUST_0073,2026-05-10 15:57:00,31.77,Utilities,Online
TXN_000160,CUST_0107,2026-04-05 02:24:00,13.46,Healthcare,POS
TXN_000161,CUST_0026,2026-03-19 07:17:00,39.57,Healthcare,POS
TXN_000162,CUST_0014,2026-02-16 23:41:00,34.32,Restaurant,Mobile
TXN_000163,CUST_0216,2026-04-05 13:58:00,25.72,Shopping,Online
TXN_000164,CUST_0003,2026-05-10 16:10:00,37.62,Healthcare,Mobile
TXN_000165,CUST_0239,2026-03-19 03:16:00,10.28,Electronics,Online
TXN_000166,CUST_0028,2026-02-05 00:48:00,6.3,Restaurant,POS
TXN_000167,CUST_0231,2026-03-18 05:39:00,35.7,Grocery,Mobile
TXN_000168,CUST_0025,2026-02-27 01:12:00,13.8,Travel,POS
TXN_000169,CUST_0109,2026-02-21 00:39:00,434.12,Utilities,POS
TXN_000170,CUST_0424,2026-05-28 14:01:00,17.74,Grocery,POS
TXN_000171,CUST_0425,2026-02-22 13:43:00,67.45,Electronics,POS
TXN_000172,CUST_0315,2026-04-21 11:36:00,24.79,Entertainment,Online
TXN_000173,CUST_0289,2026-02-22 20:45:00,26.94,Utilities,Online
TXN_000174,CUST_0095,2026-04-11 01:58:00,3.39,Electronics,Mobile
TXN_000175,CUST_0387,2026-01-12 09:09:00,2.71,Travel,ATM
TXN_000176,CUST_0322,2026-03-27 08:03:00,65.67,Travel,ATM
TXN_000177,CUST_0335,2026-06-13 03:36:00,18.6,Electronics,Mobile
TXN_000178,CUST_0194,2026-06-19 23:21:00,70.48,Healthcare,POS
TXN_000179,CUST_0435,2026-03-05 20:02:00,21.52,Restaurant,Online
TXN_000180,CUST_0212,2026-06-13 15:39:00,54.3,Grocery,Mobile
TXN_000181,CUST_0047,2026-01-15 07:38:00,88.9,Utilities,POS
TXN_000182,CUST_0356,2026-01-14 23:28:00,71.11,Entertainment,POS
TXN_000183,CUST_0390,2026-01-28 15:29:00,14.01,Healthcare,POS
TXN_000184,CUST_0013,2026-01-06 21:52:00,22.54,Electronics,Mobile
TXN_000185,CUST_0319,2026-03-09 22:29:00,100.12,Shopping,POS
TXN_000186,CUST_0419,2026-02-28 00:04:00,71.64,Utilities,Online
TXN_000187,CUST_0318,2026-05-21 04:24:00,18.92,Entertainment,Mobile
TXN_000188,CUST_0418,2026-06-22 10:40:00,149.16,Travel,POS
TXN_000189,CUST_0296,2026-03-03 17:01:00,59.1,Entertainment,Online
TXN_000190,CUST_0291,2026-04-15 09:54:00,54.45,Entertainment,Online
TXN_000191,CUST_0379,2026-05-30 09:28:00,69.57,Grocery,Mobile
TXN_000192,CUST_0402,2026-04-22 08:39:00,42.24,Electronics,POS
TXN_000193,CUST_0014,2026-04-14 22:06:00,42.53,Grocery,Mobile
TXN_000194,CUST_0481,2026-01-08 19:26:00,74.12,Grocery,POS
TXN_000195,CUST_0450,2026-01-29 13:57:00,80.84,Shopping,POS
TXN_000196,CUST_0134,2026-01-18 00:39:00,36.44,Shopping,POS
TXN_000197,CUST_0042,2026-01-18 09:33:00,46.46,Entertainment,POS
TXN_000198,CUST_0231,2026-01-08 11:49:00,21.86,Shopping,Mobile
TXN_000199,CUST_0441,2026-02-17 01:39:00,11.12,Healthcare,Online
TXN_000200,CUST_0086,2026-06-18 23:22:00,14.63,Restaurant,Mobile
TXN_000201,CUST_0330,2026-03-31 11:56:00,93.46,Healthcare,POS
TXN_000202,CUST_0216,2026-06-11 12:44:00,19.89,Travel,POS
TXN_000203,CUST_0136,2026-06-20 05:46:00,21.6,Travel,Mobile
TXN_000204,CUST_0095,2026-06-09 20:09:00,19.06,Shopping,POS
TXN_000205,CUST_0299,2026-02-23 00:05:00,107.98,Utilities,ATM
TXN_000206,CUST_0134,2026-03-21 21:13:00,47.38,Electronics,POS
TXN_000207,CUST_0302,2026-01-13 01:28:00,70.95,Electronics,POS
TXN_000208,CUST_0481,2026-01-19 23:06:00,40.96,Healthcare,Mobile
TXN_000209,CUST_0460,2026-06-24 05:09:00,110.5,Healthcare,POS
TXN_000210,CUST_0051,2026-05-19 20:56:00,64.87,Entertainment,Online
TXN_000211,CUST_0214,2026-01-14 08:56:00,17.68,Travel,Online
TXN_000212,CUST_0001,2026-04-29 07:14:00,20.18,Healthcare,Online
TXN_000213,CUST_0424,2026-06-23 02:27:00,6.8,Entertainment,Online
TXN_000214,CUST_0313,2026-01-29 06:58:00,136.39,Entertainment,POS
TXN_000215,CUST_0063,2026-03-29 14:41:00,94.8,Utilities,Online
TXN_000216,CUST_0475,2026-04-06 17:35:00,25.86,Restaurant,ATM
TXN_000217,CUST_0427,2026-06-02 01:27:00,53.07,Travel,POS
TXN_000218,CUST_0161,2026-06-29 21:30:00,7.17,Grocery,Mobile
TXN_000219,CUST_0150,2026-02-02 01:23:00,16.9,Grocery,Online
TXN_000220,CUST_0361,2026-04-19 07:49:00,17.2,Grocery,POS
TXN_000221,CUST_0476,2026-06-28 14:04:00,8.67,Healthcare,POS
TXN_000222,CUST_0478,2026-04-25 10:31:00,38.43,Healthcare,POS
TXN_000223,CUST_0211,2026-03-04 18:37:00,21.16,Grocery,Online
TXN_000224,CUST_0144,2026-04-25 07:28:00,3.96,Electronics,POS
TXN_000225,CUST_0078,2026-01-19 13:37:00,41.88,Utilities,POS
TXN_000226,CUST_0222,2026-02-15 05:55:00,203.98,Utilities,Mobile
TXN_000227,CUST_0385,2026-06-10 07:37:00,18.77,Shopping,POS
TXN_000228,CUST_0467,2026-03-30 03:44:00,26.54,Utilities,POS
TXN_000229,CUST_0087,2026-06-19 05:11:00,25.62,Grocery,Online
TXN_000230,CUST_0471,2026-02-21 10:15:00,92.23,Shopping,POS
TXN_000231,CUST_0054,2026-03-12 09:18:00,74.63,Shopping,POS
TXN_000232,CUST_0264,2026-03-02 12:07:00,5.05,Restaurant,Mobile
TXN_000233,CUST_0078,2026-06-15 02:12:00,115.56,Electronics,POS
TXN_000234,CUST_0182,2026-02-16 01:58:00,50.42,Entertainment,POS
TXN_000235,CUST_0432,2026-05-09 02:26:00,41.72,Grocery,Online
TXN_000236,CUST_0112,2026-05-07 01:32:00,16.18,Entertainment,Mobile
TXN_000237,CUST_0188,2026-03-13 15:05:00,56.11,Entertainment,Online
TXN_000238,CUST_0386,2026-06-23 18:51:00,43.03,Shopping,POS
