transaction_id,customer_id,transaction_time,amount,merchant_category,channel,hour,day_of_week,is_weekend,is_late_night,customer_avg_amount,customer_amount_std,customer_transaction_count,amount_deviation,amount_ratio,high_amount_flag,unusual_time_flag,anomaly_prediction,is_anomaly,anomaly_score,risk_flag
TXN_006174,CUST_0333,2026-01-03 00:49:00,129.2,Healthcare,Mobile,0,5,1,1,345.73304347826087,1279.6203503434303,23,-216.53304347826088,0.3736987321205353,0,1,-1,1,0.0486011808738258,UNUSUAL_TIME
TXN_005791,CUST_0043,2026-01-03 05:54:00,407.85,Electronics,POS,5,5,1,1,55.132000000000005,89.78205861095553,20,352.718,7.397700065297831,1,1,-1,1,0.0467832549308792,HIGH_AMOUNT
TXN_004473,CUST_0481,2026-01-04 02:07:00,420.78,Entertainment,Online,2,6,1,1,51.81952380952381,90.76169211050389,21,368.9604761904762,8.120105494343923,1,1,-1,1,0.0459755651187375,HIGH_AMOUNT
TXN_009673,CUST_0180,2026-01-04 16:52:00,31.53,Electronics,POS,16,6,1,0,295.4136363636364,783.2012996832007,11,-263.8836363636364,0.1067317013124894,0,0,-1,1,0.0050635582754383,ML_ANOMALY
TXN_000903,CUST_0427,2026-01-04 23:41:00,172.7,Healthcare,ATM,23,6,1,1,48.2415625,41.955906586317965,32,124.4584375,3.5799006302915664,1,1,-1,1,0.0367037779764685,HIGH_AMOUNT
TXN_006199,CUST_0089,2026-01-06 14:32:00,18.5,Healthcare,POS,14,1,0,0,267.3039393939394,1166.9263887156171,33,-248.8039393939394,0.0692096047740456,0,0,-1,1,0.0057185769529793,ML_ANOMALY
TXN_001115,CUST_0089,2026-01-07 10:50:00,19.79,Travel,POS,10,2,0,0,267.3039393939394,1166.9263887156171,33,-247.5139393939394,0.0740355718096412,0,0,-1,1,0.0014813693193562,ML_ANOMALY
TXN_006731,CUST_0450,2026-01-07 12:30:00,569.85,Utilities,Online,12,2,0,0,89.13904761904762,134.26301727969476,21,480.7109523809524,6.3928212744134365,1,0,-1,1,0.0097105681232373,HIGH_AMOUNT
TXN_000582,CUST_0327,2026-01-08 15:22:00,682.05,Utilities,Mobile,15,3,0,0,75.528,134.620665235072,25,606.5219999999999,9.030425802351443,1,0,-1,1,0.0381983606189989,HIGH_AMOUNT
TXN_007920,CUST_0333,2026-01-10 00:54:00,334.38,Electronics,Online,0,5,1,1,345.73304347826087,1279.6203503434303,23,-11.353043478260872,0.967162399740438,0,1,-1,1,0.0794978651875188,UNUSUAL_TIME
TXN_009318,CUST_0245,2026-01-10 01:25:00,303.97,Restaurant,Online,1,5,1,1,59.81894736842105,67.63543145215604,19,244.15105263157892,5.081500316745268,1,1,-1,1,0.0176402368632324,HIGH_AMOUNT
TXN_007672,CUST_0401,2026-01-10 02:24:00,392.52,Utilities,Online,2,5,1,1,68.2205,88.07799763935311,20,324.2995,5.7536957366187576,1,1,-1,1,0.0304307161673026,HIGH_AMOUNT
TXN_003382,CUST_0120,2026-01-11 09:22:00,316.67,Entertainment,POS,9,6,1,0,61.90333333333333,81.48611316104873,15,254.76666666666668,5.115556512842605,1,0,-1,1,0.0049915793758901,HIGH_AMOUNT
